日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20260430,トーモク,3946,パルプ・紙,0.0039%,TOPIX Small 2
20260430,ザ・パック,3950,パルプ・紙,0.0050%,TOPIX Small 2
20260430,チェンジホールディングス,3962,情報・通信業,0.0033%,TOPIX Small 1
20260430,オークネット,3964,情報・通信業,0.0041%,TOPIX Small 2
20260430,オロ,3983,情報・通信業,0.0016%,TOPIX Small 2
20260430,ユーザーローカル,3984,情報・通信業,0.0013%,TOPIX Small 2
20260430,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,3993,情報・通信業,0.0068%,TOPIX Small 1
20260430,マネーフォワード,3994,情報・通信業,0.0206%,TOPIX Mid400
20260430,レゾナック・ホールディングス,4004,化学,0.2626%,TOPIX Mid400
20260430,住友化学,4005,化学,0.0784%,TOPIX Mid400
20260430,住友精化,4008,化学,0.0048%,TOPIX Small 1
20260430,日産化学,4021,化学,0.0652%,TOPIX Mid400
20260430,ラサ工業,4022,化学,0.0066%,TOPIX Small 2
20260430,クレハ,4023,化学,0.0111%,TOPIX Small 1
20260430,多木化学,4025,化学,0.0034%,TOPIX Small 2
20260430,テイカ,4027,化学,0.0026%,TOPIX Small 2
20260430,石原産業,4028,化学,0.0096%,TOPIX Small 1
20260430,日本曹達,4041,化学,0.0143%,TOPIX Small 1
20260430,東ソー,4042,化学,0.0672%,TOPIX Mid400
20260430,トクヤマ,4043,化学,0.0267%,TOPIX Mid400
20260430,セントラル硝子,4044,化学,0.0099%,TOPIX Small 1
20260430,東亞合成,4045,化学,0.0131%,TOPIX Mid400
20260430,大阪ソーダ,4046,化学,0.0125%,TOPIX Small 1
20260430,関東電化工業,4047,化学,0.0062%,TOPIX Small 1
20260430,ＧＭＯフィナンシャルゲート,4051,情報・通信業,0.0020%,TOPIX Small 2
20260430,Ｓｕｎ　Ａｓｔｅｒｉｓｋ,4053,情報・通信業,0.0007%,TOPIX Small 2
20260430,デンカ,4061,化学,0.0311%,TOPIX Mid400
20260430,イビデン,4062,電気機器,0.3253%,TOPIX Mid400
20260430,信越化学工業,4063,化学,1.2320%,TOPIX Core30
20260430,日本カーバイド工業,4064,化学,0.0025%,TOPIX Small 2
20260430,プラスアルファ・コンサルティング,4071,情報・通信業,0.0059%,TOPIX Small 1
